WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
201,16.75,1,174.7392,0.04396,1,162.7904,0.04125,,,,,,,-1.2366,20.9881,0.12683,-0.9661,20.9656,0.14176
202,16.83,1,174.8896,0.04385,1,162.8126,0.04119,,,,,,,-1.2233,21.04,0.12694,-0.9582,20.9901,0.14187
203,16.92,1,175.0301,0.04375,1,162.834,0.04114,,,,,,,-1.2098,21.0914,0.12704,-0.9503,21.0138,0.14198
204,17.00,1,175.1609,0.04364,1,162.8545,0.04109,,,,,,,-1.1962,21.1423,0.12715,-0.9423,21.0367,0.14208
205,17.08,1,175.2824,0.04353,1,162.8743,0.04104,,,,,,,-1.1826,21.1925,0.12726,-0.9344,21.0587,0.14219
206,17.17,1,175.3951,0.04343,1,162.8935,0.04099,,,,,,,-1.1688,21.2423,0.12736,-0.9264,21.0801,0.1423
207,17.25,1,175.4995,0.04332,1,162.912,0.04094,,,,,,,-1.155,21.2914,0.12746,-0.9184,21.1007,0.1424
208,17.33,1,175.5959,0.04322,1,162.93,0.04089,,,,,,,-1.141,21.34,0.12756,-0.9104,21.1206,0.1425
209,17.42,1,175.685,0.04311,1,162.9476,0.04084,,,,,,,-1.127,21.388,0.12767,-0.9024,21.1399,0.14261
210,17.50,1,175.7672,0.04301,1,162.9649,0.0408,,,,,,,-1.1129,21.4354,0.12777,-0.8944,21.1586,0.14271
211,17.58,1,175.8432,0.04291,1,162.9817,0.04075,,,,,,,-1.0986,21.4822,0.12787,-0.8863,21.1768,0.14281
212,17.67,1,175.9133,0.04281,1,162.9983,0.04071,,,,,,,-1.0843,21.5285,0.12797,-0.8783,21.1944,0.14291
213,17.75,1,175.9781,0.04271,1,163.0144,0.04066,,,,,,,-1.0699,21.5742,0.12807,-0.8703,21.2116,0.14301
214,17.83,1,176.038,0.04261,1,163.03,0.04062,,,,,,,-1.0553,21.6193,0.12816,-0.8623,21.2282,0.14311
215,17.92,1,176.0935,0.04251,1,163.0451,0.04058,,,,,,,-1.0407,21.6638,0.12826,-0.8542,21.2444,0.1432
216,18.00,1,176.1449,0.04241,1,163.0595,0.04053,,,,,,,-1.026,21.7077,0.12836,-0.8462,21.2603,0.1433
